PRECINCT_NAME,CANDIDATE_FULL_NAME,contest_party_id,candidate_party_id,CONTEST_TYPE,contest_id,CONTEST_ORDER,CANDIDATE_ORDER,CONTEST_FULL_NAME,TOTAL,PRECINCT_ID,precinct_order,contest_vote_for,PROCESSED_DONE,PROCESSED_STARTED,CONTEST_TOTAL,IS_WRITEIN,undervote,overvote
0169 DEL RIO," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),291,169,169,2,1,1,1569,0,1389,16
0169 DEL RIO," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),221,169,169,2,1,1,1569,0,1389,16
0169 DEL RIO," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),399,169,169,2,1,1,1569,0,1389,16
0169 DEL RIO," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),281,169,169,2,1,1,1569,0,1389,16
0169 DEL RIO," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),373,169,169,2,1,1,1569,0,1389,16
0169 DEL RIO,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),4,169,169,2,1,1,1569,1,1389,16
0187 DIABLO," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),199,187,187,2,1,1,956,0,558,4
0187 DIABLO," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),154,187,187,2,1,1,956,0,558,4
0187 DIABLO," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),261,187,187,2,1,1,956,0,558,4
0187 DIABLO," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),197,187,187,2,1,1,956,0,558,4
0187 DIABLO," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),145,187,187,2,1,1,956,0,558,4
0187 DIABLO,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),0,187,187,2,1,1,0,1,558,4
0204 DWIGHT," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),182,204,204,2,1,1,958,0,642,16
0204 DWIGHT," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),163,204,204,2,1,1,958,0,642,16
0204 DWIGHT," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),238,204,204,2,1,1,958,0,642,16
0204 DWIGHT," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),181,204,204,2,1,1,958,0,642,16
0204 DWIGHT," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),189,204,204,2,1,1,958,0,642,16
0204 DWIGHT,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),5,204,204,2,1,1,958,1,642,16
0214 ELWOOD," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),307,214,214,2,1,1,1282,0,740,16
0214 ELWOOD," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),276,214,214,2,1,1,1282,0,740,16
0214 ELWOOD," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),248,214,214,2,1,1,1282,0,740,16
0214 ELWOOD," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),237,214,214,2,1,1,1282,0,740,16
0214 ELWOOD," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),210,214,214,2,1,1,1282,0,740,16
0214 ELWOOD,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),4,214,214,2,1,1,1282,1,740,16
0218 ESCALANTE," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),181,218,218,2,1,1,861,0,711,6
0218 ESCALANTE," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),133,218,218,2,1,1,861,0,711,6
0218 ESCALANTE," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),205,218,218,2,1,1,861,0,711,6
0218 ESCALANTE," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),149,218,218,2,1,1,861,0,711,6
0218 ESCALANTE," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),186,218,218,2,1,1,861,0,711,6
0218 ESCALANTE,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),7,218,218,2,1,1,861,1,711,6
0229 FOLLEY," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),104,229,229,2,1,1,615,0,509,8
0229 FOLLEY," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),123,229,229,2,1,1,615,0,509,8
0229 FOLLEY," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),164,229,229,2,1,1,615,0,509,8
0229 FOLLEY," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),125,229,229,2,1,1,615,0,509,8
0229 FOLLEY," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),98,229,229,2,1,1,615,0,509,8
0229 FOLLEY,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),1,229,229,2,1,1,615,1,509,8
0230 FOOTHILLS," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),416,230,230,2,1,1,2849,0,2763,26
0230 FOOTHILLS," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),657,230,230,2,1,1,2849,0,2763,26
0230 FOOTHILLS," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),603,230,230,2,1,1,2849,0,2763,26
0230 FOOTHILLS," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),714,230,230,2,1,1,2849,0,2763,26
0230 FOOTHILLS," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),455,230,230,2,1,1,2849,0,2763,26
0230 FOOTHILLS,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),4,230,230,2,1,1,2849,1,2763,26
0239 GALVESTON," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),478,239,239,2,1,1,2480,0,2070,34
0239 GALVESTON," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),530,239,239,2,1,1,2480,0,2070,34
0239 GALVESTON," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),513,239,239,2,1,1,2480,0,2070,34
0239 GALVESTON," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),541,239,239,2,1,1,2480,0,2070,34
0239 GALVESTON," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),413,239,239,2,1,1,2480,0,2070,34
